tau_quantile,tau_dollars,n_trades,hit_rate,gross_per_trade,cost_per_trade,net_per_trade,gross_total,net_total,sharpe_like
0.8,0.008673814959573804,753,0.6321381142098274,0.019468791500663968,0.12211155378486167,-0.1026427622841977,14.659999999999968,-77.29000000000087,-42.82641301482705
0.9,0.012065101169072518,384,0.671875,0.023398437500003588,0.11993489583333705,-0.09653645833333346,8.985000000001378,-37.07000000000005,-27.725287401666353
0.95,0.01581053345223477,172,0.7034883720930233,0.025901162790690643,0.11648255813953073,-0.09058139534884009,4.45499999999879,-15.580000000000496,-18.933356924315156
0.99,0.026367438125469645,30,0.5333333333333333,0.007833333333333787,0.09516666666667106,-0.08733333333333727,0.23500000000001364,-2.6200000000001182,-8.078317999503573
